Jobs,Relevant Minor Categories,,,,,,,,,,,,
Equal Opportunity Representatives & Officers,Psychology,Social Services,Management & Information Systems,Sociology,Politics & Public Policy,Cultural & Ethnic Studies,General Humanities,Feminist & Gender Studies,Anthropology & History,,,,
Exercise Physiologists,Athletic & Bodily Science,,,,,,,,,,,,
"Family & Consumer Sciences Teachers, Postsecondary",Education,Psychology,Food & Nutrition,,,,,,,,,,
Family Medicine Physicians,Medical Sciences,Biology,,,,,,,,,,,
"Farmers, Ranchers, & Other Agricultural Managers",Management & Information Systems,Specializations & Business,Agriculture & Food Science,,,,,,,,,,
Fashion Designers,Design,General Art,Cinema & Visual Arts,,,,,,,,,,
Film & Video Editors,Cinema & Visual Arts,General Art,Communication & Journalism,,,,,,,,,,
Financial Examiners,Accounting & Finance,Economics,Specializations & Business,,,,,,,,,,
Financial Quantitative Analysts,Accounting & Finance,Economics,Statistics & Data Science,Applied & General Mathematics,,,,,,,,,
"Fine Artists, Including Painters, Sculptors, & Illustrators",General Art,Cinema & Visual Arts,,,,,,,,,,,
Fire-Prevention & Protection Engineers,Specializations & Engineering,Environmental Science & Studies,Electrical & Mechanical Engineering,,,,,,,,,,
Fish & Game Wardens,Environmental Science & Studies,Animal Science,Law & Criminology,,,,,,,,,,
Fitness & Wellness Coordinators,Athletic & Bodily Science,Food & Nutrition,,,,,,,,,,,
Floral Designers,Environmental Science & Studies,Design,,,,,,,,,,,
Food Scientists & Technologists,Biology,Agriculture & Food Science,Food & Nutrition,Chemistry,,,,,,,,,
"Foreign Language & Literature Teachers, Postsecondary",Language & Literature,Linguistics,General Humanities,Anthropology & History,Cultural & Ethnic Studies,,,,,,,,
Forensic Science Technicians,Law & Criminology,Biology,Chemistry,,,,,,,,,,
Forest & Conservation Technicians,Environmental Science & Studies,Earth Sciences,,,,,,,,,,,
Forest Fire Inspectors & Prevention Specialists,Environmental Science & Studies,,,,,,,,,,,,
Foresters,Environmental Science & Studies,Animal Science,,,,,,,,,,,
"Forestry & Conservation Science Teachers, Postsecondary",Environmental Science & Studies,,,,,,,,,,,,
"Fraud Examiners, Investigators & Analysts",Statistics & Data Science,Accounting & Finance,Law & Criminology,,,,,,,,,,
Fundraisers,Communication & Journalism,Marketing & Consumer Services,,,,,,,,,,,
General & Operations Managers,Management & Information Systems,,,,,,,,,,,,
General Internal Medicine Physicians,Medical Sciences,Biology,,,,,,,,,,,
Genetic Counselors,Biology,Medical Sciences,Psychology,Chemistry,,,,,,,,,
Geneticists,Biology,Medical Sciences,Psychology,Chemistry,,,,,,,,,
Geodetic Surveyors,Earth Sciences,Information & Technology,Environmental Science & Studies,Statistics & Data Science,,,,,,,,,
Geographers,Earth Sciences,Sociology,Environmental Science & Studies,,,,,,,,,,
"Geography Teachers, Postsecondary",Earth Sciences,Environmental Science & Studies,,,,,,,,,,,
Geoscientists,Earth Sciences,Environmental Science & Studies,,,,,,,,,,,
Graphic Designers,Design,General Art,Cinema & Visual Arts,,,,,,,,,,
Health & Safety Engineers,Electrical & Mechanical Engineering,Specializations & Engineering,,,,,,,,,,,
Health Education Specialists,Education,Medical Sciences,Biology,Athletic & Bodily Science,Food & Nutrition,,,,,,,,
Health Informatics Specialists,Medical Sciences,Information & Technology,,,,,,,,,,,
"Health Specialties Teachers, Postsecondary",Medical Sciences,Food & Nutrition,Athletic & Bodily Science,Biology,,,,,,,,,
Healthcare Social Workers,Medical Sciences,Social Services,Sociology,Psychology,,,,,,,,,
Hearing Aid Specialists,Medical Sciences,Biology,,,,,,,,,,,
Historians,Anthropology & History,,,,,,,,,,,,
"History Teachers, Postsecondary",Anthropology & History,,,,,,,,,,,,
Histotechnologists,Biology,Medical Sciences,Chemistry,,,,,,,,,,
Hospitalists,Medical Sciences,Biology,,,,,,,,,,,
Human Factors Engineers & Ergonomists,Specializations & Engineering,Athletic & Bodily Science,Psychology,Design,,,,,,,,,
